id,ref,merchant,amount,fee,date,narration
LED-100042,RZP100042,Verve Fitness,35488.7,709.77,2026-08-12,Payment received - Verve Fitness
LED-100044,RZP100044,Solstice Travel,57400.09,1148,2026-08-14,Payment received - Solstice Travel
LED-100045,RZP100045,Sundown Cafe,62213.7,1244.27,2026-08-04,Payment received - Sundown Cafe
LED-100046,RZP100046,Sundown Cafe,25283.17,505.66,2026-08-02,Payment received - Sundown Cafe
LED-100047,RZP100047,Anchor Books,57408.85,1148.18,2026-08-20,Payment received - Anchor Books
LED-100048,RZP100048,Padma Electronics,57404.23,1148.08,2026-08-01,Payment received - Padma Electronics
LED-100049,RZP100049,Solstice Travel,54978.88,1099.58,2026-08-10,Payment received - Solstice Travel
LED-100050,RZP100050,Orchid Clinic,14268.07,285.36,2026-08-19,Payment received - Orchid Clinic
LED-100051,RZP100051,Verve Fitness,43526.5,870.53,2026-08-10,Payment received - Verve Fitness
LED-100052,RZP100052,Padma Electronics,66839.42,1336.79,2026-08-16,Payment received - Padma Electronics
LED-100053,RZP100053,Trailhead Logistics,15359.29,307.19,2026-08-20,Payment received - Trailhead Logistics
LED-100054,RZP100054,Kaveri Textiles,7137.39,142.75,2026-08-13,Payment received - Kaveri Textiles
LED-100055,RZP100055,Nimbus Foods,59837.49,1196.75,2026-08-13,Payment received - Nimbus Foods
LED-100056,RZP100056,Orchid Clinic,81087.51,1621.75,2026-08-04,Payment received - Orchid Clinic
LED-100058,RZP100058,Verve Fitness,20361.01,407.22,2026-08-11,Payment received - Verve Fitness
LED-100059,RZP100059,Sundown Cafe,5785.29,115.71,2026-08-10,Payment received - Sundown Cafe
LED-100060,RZP100060,Trailhead Logistics,69089.99,1381.8,2026-08-18,Payment received - Trailhead Logistics
LED-100061,RZP100061,Bluewave Studio,40529.29,810.59,2026-08-20,Payment received - Bluewave Studio
LED-100062,RZP100062,Nimbus Foods,71197.84,1423.96,2026-08-16,Payment received - Nimbus Foods
LED-100063,RZP100063,Trailhead Logistics,55342.34,1106.85,2026-08-02,Payment received - Trailhead Logistics
LED-100064,RZP100064,Kaveri Textiles,21665.88,433.32,2026-08-12,Payment received - Kaveri Textiles
LED-100065,RZP100065,Kaveri Textiles,19711.43,394.23,2026-08-08,Payment received - Kaveri Textiles
LED-100066,RZP100066,Anchor Books,47458.06,949.16,2026-08-17,Payment received - Anchor Books
LED-100067,RZP100067,Solstice Travel,15003.51,300.07,2026-08-17,Payment received - Solstice Travel
LED-100068,RZP100068,Solstice Travel,66299.78,1326,2026-08-19,Payment received - Solstice Travel
LED-100069,RZP100069,Verve Fitness,57716.12,1154.32,2026-08-03,Payment received - Verve Fitness
LED-100070,RZP100070,Sundown Cafe,6998.48,139.97,2026-08-03,Payment received - Sundown Cafe
