id,ref,merchant,amount,date,narration
BNK-100058,RZP100058,Verve Fitness,19953.79,2026-08-11,SETTLEMENT RZP100058 Verve Fitness
BNK-100059,RZP100059,Sundown Cafe,5669.58,2026-08-12,SETTLEMENT RZP100059 Sundown Cafe
BNK-100060,RZP100060,Trailhead Logistics,40072.19,2026-08-19,SETTLEMENT RZP100060 Trailhead Logistics PARTIAL
BNK-100061,RZP100601,Bluewave Studio,39718.7,2026-08-22,SETTLEMENT RZP100601 Bluewave Studio
BNK-100062,RZP100062,Nimbus Foods,69773.88,2026-08-17,SETTLEMENT RZP100062 Nimbus Foods
BNK-100063,RZP100603,Trailhead Logistics,54235.49,2026-08-03,SETTLEMENT RZP100603 Trailhead Logistics
BNK-100064,RZP100064,Kaveri Textiles,21232.56,2026-08-12,SETTLEMENT RZP100064 Kaveri Textiles
BNK-100065,RZP100065,Kaveri Textiles,19317.2,2026-08-10,SETTLEMENT RZP100065 Kaveri Textiles
BNK-100065-DUP,RZP100065,Kaveri Textiles,19317.2,2026-08-10,SETTLEMENT RZP100065 Kaveri Textiles
BNK-100066,RZP100066,Anchor Books,46508.9,2026-08-18,SETTLEMENT RZP100066 Anchor Books
BNK-100067,RZP100067,Solstice Travel,14703.44,2026-08-18,SETTLEMENT RZP100067 Solstice Travel
BNK-100067-DUP,RZP100067,Solstice Travel,14703.44,2026-08-18,SETTLEMENT RZP100067 Solstice Travel
BNK-100068,RZP100608,Solstice Travel,64973.78,2026-08-21,SETTLEMENT RZP100608 Solstice Travel
BNK-100069,RZP100069,Verve Fitness,56561.8,2026-08-05,SETTLEMENT RZP100069 Verve Fitness
BNK-100070,RZP100070,Sundown Cafe,6858.51,2026-08-03,SETTLEMENT RZP100070 Sundown Cafe
